dataset,column,dtype,null_pct,n_unique,source,meaning,example_values
historical_2015_2024,player_age,float64,0.0,27,Engineered/Merged,Model age feature (from transfermarkt_age_at_season),24.0 (1786); 25.0 (1763); 26.0 (1741)
historical_2015_2024,player_age_sq,float64,0.0,27,Engineered/Merged,Merged or engineered feature,576.0 (1786); 625.0 (1763); 676.0 (1741)
historical_2015_2024,age_peak_gap,float64,0.0,27,Engineered/Merged,Merged or engineered feature,-3.0 (1786); -2.0 (1763); -1.0 (1741)
historical_2015_2024,is_u21,int64,0.0,2,Engineered feature,Merged or engineered feature,0 (16925); 1 (3868)
historical_2015_2024,is_u23,int64,0.0,2,Engineered feature,Merged or engineered feature,0 (13719); 1 (7074)
historical_2015_2024,is_over30,int64,0.0,2,Engineered feature,Merged or engineered feature,0 (16707); 1 (4086)
historical_2015_2024,player_height_cm,int64,0.0,43,Engineered/Merged,Player height in centimeters,180 (1605); 185 (1408); 183 (1389)
historical_2015_2024,player_weight_kg,int64,0.0,49,Engineered/Merged,Player weight in kilograms,75 (1452); 70 (1285); 76 (1220)
historical_2015_2024,player_bmi,float64,0.0,768,Engineered/Merged,Body Mass Index computed from height and weight,23.148148148148145 (267); 22.857142857142858 (195); 22.093170054286077 (163)
historical_2015_2024,api_avg_rating_missing,int64,0.0,2,API-Football,Missing-value indicator flag for companion column,0 (20622); 1 (171)
historical_2015_2024,log_minutes,float64,0.0,3309,Engineered/Merged,Merged or engineered feature,4.51085950651685 (248); 8.137688184977605 (110); 5.198497031265826 (107)
historical_2015_2024,minutes_share_3420,float64,0.0,3304,Engineered/Merged,Merged or engineered feature,0.0263157894736842 (248); 1.0 (119); 0.0526315789473684 (107)
historical_2015_2024,minutes_per_appearance,float64,0.0,10253,Engineered/Merged,Merged or engineered feature,90.0 (1428); 1.0 (112); 9.0 (73)
historical_2015_2024,start_rate,float64,0.0,395,Engineered/Merged,Merged or engineered feature,1.0 (5011); 0.0 (1268); 0.5 (585)
historical_2015_2024,minutes_per_start,float64,0.0,7844,Engineered/Merged,Merged or engineered feature,90.0 (1462); 0.0 (1268); 89.0 (68)
